primary_goal,weight,height,body_type,past_injury,body_goal,fitness_experience,last_ideal_weight_time,work_schedule,typical_day,Assigned Program
Healthy Habits,62,200,Slim,None,Athletic,Easily Gain and Lose,1-2 years,Retired,Sitting Most of Day,Program 5
Healthy Habits,60,182,Slim,None,Muscular,Struggle to Build Muscle,1-2 years,Flexible,Standing All Day,Program 20
Healthy Habits,62,175,Slim,Foot region,Drop Sizes,Easily Gain and Lose,1-2 years,9 to 5,Sitting Most of Day,Program 14
Healthy Habits,97,180,Stocky,Leg region,Athletic,Struggle to Build Muscle,1-2 years,Night Shift,Active Breaks,Program 14
Get in Shape,64,189,Obese,None,Muscular,Gain Easily Struggle to Lose,Never,9 to 5,Standing All Day,Program 5
Healthy Habits,55,193,Medium Build,Arm region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 14
Get in Shape,113,161,Obese,Arm region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Retired,Standing All Day,Program 5
Weight Loss,70,188,Obese,None,Muscular,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 19
Healthy Habits,80,192,Obese,Head region,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 5
Weight Loss,86,182,Stocky,None,Muscular,Easily Gain and Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 4
Get in Shape,60,156,Medium Build,Head region,Drop Sizes,Easily Gain and Lose,1-2 years,9 to 5,Standing All Day,Program 15
Healthy Habits,77,199,Slim,Leg region,Toned,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Active Breaks,Program 20
Weight Loss,93,170,Obese,None,Muscular,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 12
Healthy Habits,97,190,Medium Build,Head region,Muscular,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 5
Get in Shape,63,174,Medium Build,None,Athletic,Easily Gain and Lose,1-2 years,Flexible,Sitting Most of Day,Program 3
Weight Loss,96,176,Slim,Head region,Athletic,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 4
Healthy Habits,104,182,Medium Build,None,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 5
Healthy Habits,65,178,Medium Build,Head region,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Standing All Day,Program 14
Weight Loss,60,160,Stocky,Foot region,Drop Sizes,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 12
Get in Shape,53,154,Medium Build,None,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 15
Weight Loss,52,194,Obese,None,Toned,Easily Gain and Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 4
Get in Shape,72,168,Stocky,Foot region,Toned,Easily Gain and Lose,Less than 1 year,Retired,Standing All Day,Program 5
Weight Loss,89,173,Medium Build,Arm region,Muscular,Gain Easily Struggle to Lose,Never,9 to 5,Standing All Day,Program 19
Healthy Habits,92,167,Stocky,Leg region,Muscular,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 14
Healthy Habits,52,153,Obese,Chest region,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 20
Get in Shape,118,199,Slim,Chest region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Active Breaks,Program 3
Weight Loss,54,166,Stocky,Head region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 12
Weight Loss,58,152,Slim,Arm region,Drop Sizes,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 12
Weight Loss,61,181,Stocky,Foot region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Flexible,Active Breaks,Program 19
Healthy Habits,68,194,Medium Build,Foot region,Toned,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 14
Weight Loss,84,165,Slim,Foot region,Toned,Struggle to Build Muscle,Never,Night Shift,Standing All Day,Program 12
Healthy Habits,103,161,Slim,Arm region,Toned,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 5
Get in Shape,77,198,Obese,Arm region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 3
Healthy Habits,56,189,Stocky,None,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 5
Healthy Habits,94,151,Obese,Leg region,Drop Sizes,Easily Gain and Lose,1-2 years,9 to 5,Sitting Most of Day,Program 14
Healthy Habits,75,158,Obese,Head region,Muscular,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 20
Get in Shape,57,181,Obese,None,Toned,Struggle to Build Muscle,Never,Retired,Standing All Day,Program 5
Weight Loss,98,188,Stocky,None,Athletic,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 19
Get in Shape,58,176,Obese,Head region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 3
Healthy Habits,98,163,Medium Build,Leg region,Toned,Gain Easily Struggle to Lose,Never,Night Shift,Sitting Most of Day,Program 5
Get in Shape,110,197,Medium Build,Foot region,Athletic,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 3
Healthy Habits,77,177,Stocky,None,Toned,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 14
Get in Shape,113,181,Obese,Leg region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Active Breaks,Program 5
Weight Loss,77,190,Slim,None,Toned,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 4
Healthy Habits,89,169,Slim,None,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 20
Get in Shape,107,154,Slim,Foot region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 5
Weight Loss,73,193,Obese,None,Drop Sizes,Struggle to Build Muscle,More than 3 years,Flexible,Sitting Most of Day,Program 4
Get in Shape,63,161,Slim,Chest region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Healthy Habits,116,174,Medium Build,None,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 20
Weight Loss,61,200,Medium Build,None,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 19
